Date,Ticker,Shares,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity,Buy Price
2025-09-12,FBIO,11.0,41.91,0.0,3.89,42.79,0.88,HOLD,,,3.81
2025-09-12,KALA,1.0,17.0,0.0,18.62,18.62,1.62,HOLD,,,17.0
2025-09-12,KAPA,12.0,21.6,0.0,1.76,21.12,-0.48,HOLD,,,1.8
2025-09-12,WWR,28.0,19.6,0.0,0.68,19.04,-0.56,HOLD,,,0.7
2025-09-12,TOTAL,,,,,101.57,1.46,,0.4,101.97,
2025-09-15,FBIO,11.0,41.91,0.0,3.55,39.05,-2.86,HOLD,,,3.81
2025-09-15,KALA,1.0,17.0,0.0,19.25,19.25,2.25,HOLD,,,17.0
2025-09-15,KAPA,12.0,21.6,0.0,1.58,18.96,-2.64,HOLD,,,1.8
2025-09-15,WWR,28.0,19.6,0.0,0.68,19.04,-0.56,HOLD,,,0.7
2025-09-15,TOTAL,,,,,96.3,-3.81,,0.4,96.7,
2025-09-16,FBIO,11.0,41.91,0.0,3.43,37.73,-4.18,HOLD,,,3.81
2025-09-16,KALA,1.0,17.0,0.0,18.32,18.32,1.32,HOLD,,,17.0
2025-09-16,KAPA,12.0,21.6,0.0,1.61,19.32,-2.28,HOLD,,,1.8
2025-09-16,WWR,28.0,19.6,0.0,0.69,19.32,-0.28,HOLD,,,0.7
2025-09-16,TOTAL,,,,,94.69,-5.42,,0.4,95.09,
2025-09-17,FBIO,11.0,41.91,0.0,3.43,37.73,-4.18,HOLD,,,3.81
2025-09-17,KALA,1.0,17.0,0.0,17.46,17.46,0.46,HOLD,,,17.0
2025-09-17,KAPA,12.0,21.6,0.0,1.68,20.16,-1.44,HOLD,,,1.8
2025-09-17,WWR,28.0,19.6,0.0,0.76,21.28,1.68,HOLD,,,0.7
2025-09-17,TOTAL,,,,,96.63,-3.48,,0.4,97.03,
2025-09-18,FBIO,11,41.91,0.0,3.55,39.05,-2.86,HOLD,,,3.81
2025-09-18,KALA,1,17.0,0.0,17.46,17.46,0.46,HOLD,,,17.0
2025-09-18,KAPA,12,21.6,0.0,1.34,16.08,-5.52,HOLD,,,1.8
2025-09-18,WWR,28,19.6,0.0,0.75,21.0,1.4,HOLD,,,0.7
2025-09-18,TOTAL,,,,,93.59,-6.52,,0.4,93.99,
